project_code,yard_name,packing_count,source
2502044,A01,2,jeil_actual
2504035,G05,4,jeil_actual
2504035,A01,1,jeil_actual
2504035,H01,1,jeil_actual
2504042,G10,4,jeil_actual
2504042,A03,10,jeil_actual
2504042,A08,2,jeil_actual
2504042,G08,4,jeil_actual
2504042,C04,5,jeil_actual
2504042,C03,4,jeil_actual
2504042,F01,6,jeil_actual
2504042,A01,2,jeil_actual
2504042,D07,12,jeil_actual
2504042,G03,4,jeil_actual
2505001,H15,4,jeil_actual
2505001,H04,2,jeil_actual
2505001,F05,22,jeil_actual
2505001,D01,22,jeil_actual
2505001,F04,12,jeil_actual
2505001,F03,31,jeil_actual
2505001,A06,2,jeil_actual
2505001,E05,5,jeil_actual
2505058,H01,1,jeil_actual
2505058,A01,12,jeil_actual
2505058,G09,1,jeil_actual
2505058,A02,13,jeil_actual
2505058,C03,6,jeil_actual
2506027,G02,3,jeil_actual
2506027,C01,2,jeil_actual
2506036,G05,6,jeil_actual
2506036,G01,1,jeil_actual
2506036,F07,5,jeil_actual
2506036,F08,1,jeil_actual
2506036,G04,3,jeil_actual
2506044,D08,23,jeil_actual
2506044,G07,1,jeil_actual
2506044,D09,12,jeil_actual
2506044,G05,11,jeil_actual
2506044,F10,1,jeil_actual
2506044,G02,2,jeil_actual
2506044,G04,5,jeil_actual
2506044,C06,3,jeil_actual
2507036,H14,11,jeil_actual
2507036,H01,3,jeil_actual
2507036,F08,9,jeil_actual
2507036,D02,11,jeil_actual
2507036,G08,1,jeil_actual
2507036,G10,1,jeil_actual
2507036,D01,5,jeil_actual
2508021,H08,113,jeil_actual
2508021,H12,48,jeil_actual
2508021,H16,12,jeil_actual
2508021,H09,154,jeil_actual
2508021,H13,9,jeil_actual
2508021,H14,16,jeil_actual
2508021,H15,2,jeil_actual
2508048,F08,11,jeil_actual
2508048,F01,13,jeil_actual
2508048,A01,2,jeil_actual
2508048,D01,4,jeil_actual
2509028,D08,11,jeil_actual
2510011,C07,5,jeil_actual
2510011,G01,5,jeil_actual
2510011,G02,1,jeil_actual
2510034,G09,1,jeil_actual
2510035,D01,12,jeil_actual
2510035,G09,7,jeil_actual
2510035,G04,1,jeil_actual
2510036,G04,2,jeil_actual
2510036,G09,4,jeil_actual
2510036,G10,4,jeil_actual
2511002,G02,2,jeil_actual
